filename,gt_plate,pred_raw,pred_processed,acc_raw,acc_processed,conf_raw,conf_processed,brightness_raw,brightness_processed,sharp_raw,sharp_processed,brisque_raw,brisque_processed,niqe_raw,niqe_processed
license_plate_restoration/Night Images/20190615_155317_resized.jpg,ATOMC,AT0MC,AT0MC,0.8,0.8,0.8818359375,0.8564453125,29.59900580512153,82.74747043185764,16.512895584106445,87.16207122802734,52.32698440551758,40.89284133911133,15.994918823242188,16.219314575195312
license_plate_restoration/Night Images/20190712_121651_resized.jpg,1494322,1494322,1494322,1.0,1.0,0.87353515625,0.87548828125,32.449242485894096,94.07790798611111,118.40782928466797,537.40625,22.528060913085938,19.127796173095703,14.499846458435059,11.996735572814941
license_plate_restoration/Night Images/20190727_110246_resized.jpg,8ETH697,8ETH697,8ETH697,1.0,1.0,0.8408203125,0.82666015625,39.39483642578125,91.24747551812067,137.768798828125,543.9764404296875,31.971843719482422,2.932262659072876,7.291141033172607,10.250486373901367
license_plate_restoration/Night Images/20200603_191338_resized.jpg,AL83M36,AL83M36,AL83M36,1.0,1.0,0.90283203125,0.9052734375,32.238157484266495,92.23267618815105,173.0597686767578,609.2068481445312,19.99281883239746,8.353459358215332,7.49623441696167,15.283711433410645
license_plate_restoration/Night Images/20230630_140900.jpg,9DIG718,9DTG718,9DTG718,0.8571428571428572,0.8571428571428572,0.873046875,0.8876953125,38.30608452690972,105.45058865017361,47.528926849365234,177.00672912597656,41.8686408996582,37.494140625,13.332979202270508,13.693866729736328
license_plate_restoration/Night Images/20230802_161747_resized.jpg,CK26U47,CKZ6U47,CKZ6U47,0.8571428571428572,0.8571428571428572,0.85595703125,0.83984375,30.291378445095486,93.95974731445312,304.7820739746094,1218.115234375,14.189467430114746,7.602669715881348,4.941739082336426,10.141741752624512
license_plate_restoration/Night Images/20240221_175425_resized.jpg,99767M2,99767M2,99767M2,1.0,1.0,0.8603515625,0.86083984375,40.908988104926216,94.1736348470052,147.39645385742188,484.32421875,38.23020935058594,29.193309783935547,13.24759578704834,10.664224624633789
license_plate_restoration/Night Images/20240224_154126_resized.jpg,7HKN790,7HKN790,7HKN790,1.0,1.0,0.83544921875,0.85595703125,34.576539781358505,93.2173834906684,215.6878204345703,680.6806030273438,24.75038719177246,17.89109992980957,7.170477390289307,8.746661186218262
license_plate_restoration/Night Images/20240407_153852_resized.jpg,LUCILLE,UUTLLE,UCTLLEE,0.5714285714285714,0.5714285714285714,0.91748046875,0.91796875,34.03857760959201,96.49425421820746,96.10043334960938,363.0656433105469,28.76702308654785,13.316060066223145,7.937839031219482,11.01292896270752
license_plate_restoration/Night Images/20240504_154137.jpg,EQ 19389,EQ19389,EQ19389,0.875,0.875,0.87060546875,0.869140625,38.86774020724826,97.97548082139757,175.9692840576172,698.09375,19.10489273071289,11.595487594604492,8.154228210449219,15.117351531982422
license_plate_restoration/Night Images/20240504_154432.jpg,CJ0777,CJQ777,CJQ777,0.8333333333333334,0.8333333333333334,0.88525390625,0.88330078125,31.824210272894966,88.45269775390625,224.31517028808594,819.9326782226562,35.61761474609375,21.113365173339844,12.666497230529785,12.500755310058594
